"Entity","contact_tracing","lasted","lon","lat"
"Nicaragua","Sin seguimiento",2021-04-26,-85.207229,12.865416
"Niger","Sin seguimiento",2021-04-19,8.081666,17.607789
"Nigeria","Seguimiento integral",2021-04-26,8.675277,9.081999
"Norway","Seguimiento integral",2021-05-06,8.468946,60.472024
"Oman","Seguimiento limitado",2021-05-03,55.975413,21.4735329
"Pakistan","Seguimiento limitado",2021-04-18,69.345116,30.375321
"Palestine","Seguimiento limitado",2021-04-30,35.233154,31.952162
"Panama","Seguimiento integral",2021-05-03,-80.782127,8.537981
"Papua New Guinea","Seguimiento limitado",2021-05-09,143.95555,-6.314993
"Paraguay","Seguimiento integral",2021-05-02,-58.443832,-23.442503
"Peru","Seguimiento limitado",2021-05-09,-75.015152,-9.189967
"Philippines","Seguimiento integral",2021-04-26,121.774017,12.879721
"Poland","Seguimiento limitado",2021-05-07,19.145136,51.919438
"Portugal","Seguimiento integral",2021-05-07,-8.224454,39.399872
"Qatar","Seguimiento integral",2021-05-03,51.183884,25.354826
"Romania","Seguimiento integral",2021-05-09,24.96676,45.943161
"Russia","Seguimiento limitado",2021-05-09,105.318756,61.52401
"Rwanda","Seguimiento integral",2021-05-02,29.873888,-1.940278
"San Marino","Seguimiento integral",2021-04-26,12.457777,43.94236
"Saudi Arabia","Seguimiento integral",2021-05-03,45.079162,23.885942
"Senegal","Seguimiento integral",2021-05-03,-14.452362,14.497401
"Serbia","Seguimiento integral",2021-05-03,21.005859,44.016521
"Seychelles","Seguimiento integral",2021-05-03,55.491977,-4.679574
"Sierra Leone","Seguimiento limitado",2021-04-26,-11.779889,8.460555
"Singapore","Seguimiento integral",2021-05-09,103.819836,1.352083
"Slovakia","Seguimiento integral",2021-04-26,19.699024,48.669026
"Slovenia","Seguimiento limitado",2021-04-26,14.995463,46.151241
"Solomon Islands","Sin seguimiento",2021-04-26,160.156194,-9.64571
"Somalia","Seguimiento limitado",2021-05-09,46.199616,5.152149
"South Africa","Seguimiento integral",2021-05-03,22.937506,-30.559482
"South Korea","Seguimiento integral",2021-05-08,127.766922,35.907757
"South Sudan","Seguimiento limitado",2021-05-03,31.3069788,6.8769919
"Spain","Seguimiento limitado",2021-05-09,-3.74922,40.463667
"Sri Lanka","Seguimiento integral",2021-05-08,80.771797,7.873054
